SRP Index,SRR Accession Number,Cell Type,Pathogen,Hour Post Infection (HPI),Mock/infected,RNA-seq Type (total/mRNA),Library Type
SRP253951,SRR11573899,A549-ACE2,SARS-CoV-2,24,mock,Total,SINGLE
SRP253951,SRR11573900,A549-ACE2,SARS-CoV-2,24,mock,Total,SINGLE
SRP253951,SRR11573901,A549-ACE2,SARS-CoV-2,24,mock,Total,SINGLE
SRP253951,SRR11573902,A549-ACE2,SARS-CoV-2,24,mock,Total,SINGLE
SRP253951,SRR11573903,A549-ACE2,SARS-CoV-2,24,mock,Total,SINGLE
SRP253951,SRR11573904,A549-ACE2,SARS-CoV-2,24,infected,Total,SINGLE
SRP253951,SRR11573905,A549-ACE2,SARS-CoV-2,24,infected,Total,SINGLE
SRP253951,SRR11573906,A549-ACE2,SARS-CoV-2,24,infected,Total,SINGLE
SRP253951,SRR11573907,A549-ACE2,SARS-CoV-2,24,infected,Total,SINGLE
SRP253951,SRR11573908,A549-ACE2,SARS-CoV-2,24,infected,Total,SINGLE
SRP253951,SRR11573909,A549-ACE2,SARS-CoV-2,24,infected,Total,SINGLE
SRP273473,SRR12319413,DC,SARS-CoV-2,2,mock,Total,SINGLE
SRP273473,SRR12319414,DC,SARS-CoV-2,2,infected,Total,SINGLE
SRP273473,SRR12319415,MAC,SARS-CoV-2,2,mock,Total,SINGLE
SRP273473,SRR12319416,MAC,SARS-CoV-2,2,infected,Total,SINGLE
SRP270817,SRR12168536,PHAE,SARS-CoV-2,48,mock,Total,SINGLE
SRP270817,SRR12168537,PHAE,SARS-CoV-2,48,mock,Total,SINGLE
SRP270817,SRR12168538,PHAE,SARS-CoV-2,48,mock,Total,SINGLE
SRP270817,SRR12168539,PHAE,SARS-CoV-2,48,mock,Total,SINGLE
SRP270817,SRR12168540,PHAE,SARS-CoV-2,48,mock,Total,SINGLE
SRP270817,SRR12168541,PHAE,SARS-CoV-2,48,mock,Total,SINGLE
SRP270817,SRR12168542,PHAE,SARS-CoV-2,48,infected,Total,SINGLE
SRP270817,SRR12168543,PHAE,SARS-CoV-2,48,infected,Total,SINGLE
SRP270817,SRR12168544,PHAE,SARS-CoV-2,48,infected,Total,SINGLE
SRP270817,SRR12168545,PHAE,SARS-CoV-2,48,infected,Total,SINGLE
SRP270817,SRR12168546,PHAE,SARS-CoV-2,48,infected,Total,SINGLE
SRP270817,SRR12168547,PHAE,SARS-CoV-2,48,infected,Total,SINGLE
SRP266618,SRR11966163,NTT,HCMV,24,mock,Total,SINGLE
SRP266618,SRR11966164,NTT,HCMV,24,mock,Total,SINGLE
SRP266618,SRR11966165,NTT,HCMV,24,infected,Total,SINGLE
SRP266618,SRR11966166,NTT,HCMV,24,infected,Total,SINGLE
