Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
HSV1,-0.3275897586510185,-1.2147172248389948,0.011,0.06349999999999999,249,249,NM_001101340;NM_001310315;NM_003897;XM_024450803;XM_005250561;XM_017022505;NM_005252;NM_000201;XM_006718489;XM_006711977;NM_000095;NM_000266;NM_000383;NM_000517;NM_000558;NM_000612;NM_001005238;NM_001014440;NM_001080461;NM_001080482;NM_001124;NM_001142806;NM_001143976;NM_001145033;NM_001167676;NM_001198954;NM_001199455;NM_001199691;NM_001205252;NM_001207052;NM_001220778;NM_001243079;NM_001286379;NM_001288609;NM_001289053;NM_001291739;NM_001291986;NM_001304359;NM_001305878;NM_001322842;NM_001324309;NM_001346810;NM_001362;NM_001896;NM_001946;NM_002196;NM_002229;NM_002409;NM_002457;NM_002458;NM_002471;NM_002478;NM_002479;NM_002699;NM_003378;NM_003655;NM_004158;NM_004352;NM_005169;NM_005281;NM_005384;NM_005618;NM_005634;NM_005985;NM_006160;NM_012217;NM_013376;NM_014817;NM_015879;NM_016202;NM_020307;NM_020376;NM_020405;NM_020689;NM_021195;NM_021978;NM_032192;NM_032551;NM_033341;NM_052841;NM_058230;NM_145288;NM_152421;NM_178468;NM_198532;NM_198565;NM_203434;NM_207518;NM_212556;NR_000012;NR_002587;NR_002594;NR_002728;NR_002742;NR_003064;NR_003068;NR_024008;NR_024046;NR_026675;NR_026914;NR_027181;NR_027621;NR_029423;NR_033400;NR_033408;NR_033923;NR_034088;NR_038286;NR_046235;NR_046631;NR_102400;NR_103767;NR_103773;NR_120611;NR_125845;NR_126358;NR_131012;NR_135205;NR_135317;NR_135321;NR_135805;NR_136614;NR_144551;NR_145132;NR_146868;NR_149054;NR_149095;XM_005250452;XM_005257705;XM_005259263;XM_005260436;XM_005268408;XM_005277913;XM_006724108;XM_011509597;XM_011510990;XM_011511522;XM_011512690;XM_011513342;XM_011515484;XM_011516447;XM_011516745;XM_011520156;XM_011520492;XM_011522809;XM_011523224;XM_011523450;XM_011525399;XM_011528161;XM_011528184;XM_011528864;XM_011529681;XM_011531216;XM_011532269;XM_011532724;XM_011535223;XM_011536177;XM_011537232;XM_011537795;XM_011539508;XM_011543607;XM_011543709;XM_011543774;XM_011544393;XM_017004625;XM_017005378;XM_017008944;XM_017009424;XM_017009790;XM_017009995;XM_017010114;XM_017010233;XM_017011961;XM_017012472;XM_017012734;XM_017012792;XM_017012798;XM_017012949;XM_017013332;XM_017014127;XM_017019386;XM_017020406;XM_017020794;XM_017021067;XM_017023563;XM_017023575;XM_017023984;XM_017024761;XM_017025919;XM_017027551;XM_017027845;XM_017028539;XM_017028803;XM_017029034;XM_017030006;XM_024446248;XM_024446844;XM_024446981;XM_024447395;XM_024447970;XM_024448309;XM_024448764;XM_024450712;XM_024451224;XM_024451752;XM_024451970;XM_024453251;XM_024453286;XM_024454159;XM_024454237;XM_024454343;XR_001737869;XR_001745007;XR_001745427;XR_001745827;XR_001746135;XR_001749276;XR_001751932;XR_001752716;XR_001753050;XR_001753444;XR_001753519;XR_001754582;XR_001755492;XR_001755725;XR_002956372;XR_002956627;XR_002956973;XR_002957595;XR_002958013;XR_002958197;XR_002959730;XR_002959825;XR_247234;XR_926300;XR_926759;XR_928431;XR_933049;XR_936967;XR_938274;XR_945577;XR_945601;XR_946984;XR_950905;NM_000256;NM_203407;NR_003020;XR_001749428;NM_033068,NR_135205;NR_135317;NR_135321;NR_135805;NR_136614;NR_144551;NR_145132;NR_146868;NR_149054;NR_149095;XM_005250452;XM_005257705;XM_005259263;XM_005260436;XM_005268408;XM_005277913;XM_006724108;XM_011509597;XM_011510990;XM_011511522;XM_011512690;XM_011513342;XM_011515484;XM_011516447;XM_011516745;XM_011520156;XM_011520492;XM_011522809;XM_011523224;XM_011523450;XM_011525399;XM_011528161;XM_011528184;XM_011528864;XM_011529681;XM_011531216;XM_011532269;XM_011532724;XM_011535223;XM_011536177;XM_011537232;XM_011537795;XM_011539508;XM_011543607;XM_011543709;XM_011543774;XM_011544393;XM_017004625;XM_017005378;XM_017008944;XM_017009424;XM_017009790;XM_017009995;XM_017010114;XM_017010233;XM_017011961;XM_017012472;XM_017012734;XM_017012792;XM_017012798;XM_017012949;XM_017013332;XM_017014127;XM_017019386;XM_017020406;XM_017020794;XM_017021067;XM_017023563;XM_017023575;XM_017023984;XM_017024761;XM_017025919;XM_017027551;XM_017027845;XM_017028539;XM_017028803;XM_017029034;XM_017030006;XM_024446248;XM_024446844;XM_024446981;XM_024447395;XM_024447970;XM_024448309;XM_024448764;XM_024450712;XM_024451224;XM_024451752;XM_024451970;XM_024453251;XM_024453286;XM_024454159;XM_024454237;XM_024454343;XR_001737869;XR_001745007;XR_001745427;XR_001745827;XR_001746135;XR_001749276;XR_001751932;XR_001752716;XR_001753050;XR_001753444;XR_001753519;XR_001754582;XR_001755492;XR_001755725;XR_002956372;XR_002956627;XR_002956973;XR_002957595;XR_002958013;XR_002958197;XR_002959730;XR_002959825;XR_247234;XR_926300;XR_926759;XR_928431;XR_933049;XR_936967;XR_938274;XR_945577;XR_945601;XR_946984;XR_950905;NM_000256;NM_203407;NR_003020;XR_001749428;NM_033068
HRV,-0.3027379616349667,-1.1219181466904475,0.095,0.23224999999999998,249,249,NM_001190452;NM_153337;NM_005623;NM_024292;NM_002993;XM_011527200;NR_026867;XM_011542933;XM_017025237;NM_006110;NR_147697;NM_000095;NM_000104;NM_000682;NM_000864;NM_001015049;NM_001017368;NM_001033056;NM_001050;NM_001098577;NM_001099221;NM_001099783;NM_001113495;NM_001114620;NM_001142287;NM_001142571;NM_001143937;NM_001145044;NM_001159279;NM_001159920;NM_001164382;NM_001168368;NM_001172639;NM_001197294;NM_001243877;NM_001286279;NM_001286687;NM_001297567;NM_001303241;NM_001330450;NM_001347888;NM_001348743;NM_001354733;NM_001547;NM_001722;NM_001785;NM_002176;NM_002202;NM_002443;NM_002458;NM_002526;NM_003225;NM_003823;NM_003956;NM_004273;NM_004350;NM_004473;NM_004887;NM_005101;NM_005226;NM_005773;NM_005854;NM_005962;NM_006207;NM_006843;NM_007113;NM_012170;NM_014077;NM_015315;NM_016190;NM_017442;NM_018207;NM_018965;NM_019074;NM_020406;NM_020905;NM_021064;NM_021819;NM_024625;NM_025153;NM_031948;NM_031965;NM_033133;NM_053275;NM_130848;NM_133445;NM_138456;NM_138706;NM_138717;NM_153027;NM_172138;NM_172140;NM_181449;NM_198532;NM_205853;NM_206866;NM_206914;NR_002448;NR_002571;NR_004378;NR_004859;NR_026756;NR_029435;NR_029639;NR_030286;NR_030761;NR_033711;NR_033901;NR_034085;NR_034125;NR_034156;NR_040090;NR_046251;NR_047570;NR_047648;NR_102759;NR_104098;NR_104224;NR_110569;NR_120662;NR_121581;NR_126467;NR_128720;NR_132360;NR_135014;NR_135835;NR_145422;NR_146076;NR_146455;NR_146624;NR_148960;XM_005249868;XM_005250889;XM_005265537;XM_005268837;XM_005269286;XM_005273583;XM_006712223;XM_006712761;XM_006715405;XM_006718516;XM_006718775;XM_006720983;XM_006723798;XM_006724246;XM_006724265;XM_011511121;XM_011512323;XM_011512401;XM_011512605;XM_011517404;XM_011518705;XM_011522772;XM_011523546;XM_011523750;XM_011526098;XM_011527060;XM_011527460;XM_011527954;XM_011532957;XM_011534846;XM_011536616;XM_011537522;XM_011538386;XM_011540630;XM_011542399;XM_011542800;XM_011543218;XM_011544346;XM_011545388;XM_017000457;XM_017003770;XM_017006293;XM_017007126;XM_017007594;XM_017009632;XM_017010302;XM_017011489;XM_017012102;XM_017012388;XM_017012934;XM_017014640;XM_017015459;XM_017015612;XM_017015932;XM_017018171;XM_017018688;XM_017018819;XM_017019971;XM_017020672;XM_017020854;XM_017022197;XM_017023908;XM_017025152;XM_017026709;XM_017027021;XM_017029294;XM_017029378;XM_024446464;XM_024446858;XM_024448605;XM_024450562;XM_024451046;XM_024451332;XM_024451687;XM_024451706;XM_024452537;XM_024452798;XM_024453213;XR_001737772;XR_001738036;XR_001738322;XR_001739003;XR_001741050;XR_001741564;XR_001741965;XR_001742445;XR_001744845;XR_001744936;XR_001744956;XR_001745545;XR_001747630;XR_001750792;XR_001751285;XR_001752566;XR_001753461;XR_001754636;XR_002956815;XR_002957368;XR_002957994;XR_002958144;XR_002958858;XR_002959392;XR_923257;XR_929599;XR_936967;XR_938256;XR_938746;XR_940138;XR_944812;XR_944925;XR_946543;XR_946617;XR_947993;XR_949871;NM_000256;XR_002959602;NM_001282941;XR_001746229,XM_005265537;XM_005268837;XM_005269286;XM_005273583;XM_006712223;XM_006712761;XM_006715405;XM_006718516;XM_006718775;XM_006720983;XM_006723798;XM_006724246;XM_006724265;XM_011511121;XM_011512323;XM_011512401;XM_011512605;XM_011517404;XM_011518705;XM_011522772;XM_011523546;XM_011523750;XM_011526098;XM_011527060;XM_011527460;XM_011527954;XM_011532957;XM_011534846;XM_011536616;XM_011537522;XM_011538386;XM_011540630;XM_011542399;XM_011542800;XM_011543218;XM_011544346;XM_011545388;XM_017000457;XM_017003770;XM_017006293;XM_017007126;XM_017007594;XM_017009632;XM_017010302;XM_017011489;XM_017012102;XM_017012388;XM_017012934;XM_017014640;XM_017015459;XM_017015612;XM_017015932;XM_017018171;XM_017018688;XM_017018819;XM_017019971;XM_017020672;XM_017020854;XM_017022197;XM_017023908;XM_017025152;XM_017026709;XM_017027021;XM_017029294;XM_017029378;XM_024446464;XM_024446858;XM_024448605;XM_024450562;XM_024451046;XM_024451332;XM_024451687;XM_024451706;XM_024452537;XM_024452798;XM_024453213;XR_001737772;XR_001738036;XR_001738322;XR_001739003;XR_001741050;XR_001741564;XR_001741965;XR_001742445;XR_001744845;XR_001744936;XR_001744956;XR_001745545;XR_001747630;XR_001750792;XR_001751285;XR_001752566;XR_001753461;XR_001754636;XR_002956815;XR_002957368;XR_002957994;XR_002958144;XR_002958858;XR_002959392;XR_923257;XR_929599;XR_936967;XR_938256;XR_938746;XR_940138;XR_944812;XR_944925;XR_946543;XR_946617;XR_947993;XR_949871;NM_000256;XR_002959602;NM_001282941;XR_001746229
DENV1,-0.10856548398869934,-0.40539336340609305,1.0,1.0,249,249,NM_000584;NM_002089;NM_002994;XM_024446532;NM_001322816;NM_001354840;NM_002090;XM_005267119;NM_000594;NM_000384;NM_000429;XM_006715555;NM_001127380;NM_001710;NM_020529;XM_011533829;NM_002982;XM_005249745;XM_017008947;XM_017014612;NM_002638;XR_929077;XR_944410;NM_031419;NM_000064;NM_000758;NM_003897;NM_002852;XM_011529128;NM_002228;NM_001570;NM_000074;XM_011534447;NR_026867;NM_001964;XM_017026873;NM_003407;NM_005252;XR_002958752;XR_001737203;NM_000201;NM_005557;NM_002507;NR_015384;NM_000422;NM_000024;NM_000029;NM_000030;NM_000067;NM_000089;NM_000090;NM_000095;NM_000104;NM_000127;NM_000129;NM_000138;NM_000165;NM_000170;NM_000185;NM_000189;NM_000193;NM_000196;NM_000217;NM_000229;NM_000237;NM_000265;NM_000266;NM_000270;NM_000334;NM_000350;NM_000358;NM_000362;NM_000363;NM_000370;NM_000383;NM_000393;NM_000396;NM_000397;NM_000428;NM_000434;NM_000479;NM_000517;NM_000518;NM_000525;NM_000526;NM_000538;NM_000558;NM_000575;NM_000586;NM_000593;NM_000599;NM_000602;NM_000612;NM_000625;NM_000704;NM_000958;NM_000963;NM_001001437;NM_001001791;NM_001010905;NM_001014440;NM_001032731;NM_001135147;NM_001145033;NM_001145373;NM_001165;NM_001278736;NM_001282387;NM_001318207;NM_001330183;NM_001352910;NM_001432;NM_001565;NM_001965;NM_002006;NM_002120;NM_002155;NM_002164;NM_002176;NM_002178;NM_002229;NM_002800;NM_002983;NM_002984;NM_003082;NM_003265;NM_003299;NM_003714;NM_003955;NM_003956;NM_004120;NM_004335;NM_004417;NM_004419;NM_004556;NM_004585;NM_004646;NM_004933;NM_005082;NM_005101;NM_005347;NM_005514;NM_005562;NM_006010;NM_006018;NM_006084;NM_006398;NM_006914;NM_007076;NM_007115;NM_012118;NM_012328;NM_014314;NM_014330;NM_014379;NM_014398;NM_014417;NM_015193;NM_015444;NM_016306;NM_016323;NM_017633;NM_018445;NM_021101;NM_021127;NM_022044;NM_022147;NM_022168;NM_024625;NM_030762;NM_030952;NM_052941;NM_080657;NM_138287;NM_138433;NM_138456;NM_145301;NM_152592;NM_153606;NM_153711;NM_172138;NM_172140;NM_177455;NM_177551;NM_207322;NR_001284;NR_026556;NR_026682;NR_027701;NR_033258;NR_036158;NR_036159;NR_037191;NR_040090;NR_040245;NR_049793;NR_074079;NR_104133;NR_110255;NR_120528;NR_125739;NR_131935;NR_145429;NR_148221;NR_148960;NR_149095;XM_005254549;XM_006719602;XM_011510285;XM_011515618;XM_011521521;XM_011527432;XM_011529254;XM_011529570;XM_011530077;XM_011532103;XM_011535486;XM_011538963;XM_011544456;XM_011544554;XM_017008383;XM_017019971;XM_017027414;XM_017029908;XM_024448960;XR_001736924;XR_001737736;XR_001739612;XR_001743043;XR_001747541;XR_001752777;XR_001752800;XR_001752852;XR_002957724;XR_002959544;XR_922199;XR_929550;XR_938449;XR_950140;XR_950253;XR_950905;XR_951290;XR_001747560;XM_011510797;NM_000256;XR_001742640;NM_171998;XR_001741069;NR_073430,XR_001752777;XR_001752800;XR_001752852;XR_002957724;XR_002959544;XR_922199;XR_929550;XR_938449;XR_950140;XR_950253;XR_950905;XR_951290;XR_001747560;XM_011510797;NM_000256;XR_001742640;NM_171998;XR_001741069;NR_073430
EBOLA,-0.15639069526075888,-0.5830238404541208,1.0,1.0,249,249,NM_000584;XM_024446532;NM_001322816;NM_001354840;XM_005267119;NM_000594;XM_006715555;NM_005092;NR_103548;NM_001710;NM_005623;NM_020529;NM_002982;XM_005249745;XM_017014612;XM_017022774;XR_947118;NM_000064;NM_001278160;NM_002993;NM_002228;NM_001570;NM_001199622;XM_017026873;NM_006779;XR_001737203;NM_145804;NM_000201;NM_032413;XM_011527317;NM_000265;NM_000397;NM_000575;NM_000593;NM_000602;NM_000689;NM_001001437;NM_001005176;NM_001013699;NM_001024401;NM_001032731;NM_001039771;NM_001040874;NM_001099221;NM_001124;NM_001130677;NM_001165;NM_001190943;NM_001199837;NM_001256477;NM_001258406;NM_001270930;NM_001278736;NM_001308043;NM_001320151;NM_001322842;NM_001354885;NM_001432;NM_001453;NM_001547;NM_001554;NM_001565;NM_001775;NM_001945;NM_001946;NM_002053;NM_002164;NM_002176;NM_002286;NM_002416;NM_002534;NM_002800;NM_002983;NM_002984;NM_003265;NM_003311;NM_003512;NM_003516;NM_003518;NM_003526;NM_003528;NM_003530;NM_003641;NM_003714;NM_003811;NM_004289;NM_004335;NM_004417;NM_004419;NM_004472;NM_004556;NM_004585;NM_004789;NM_004994;NM_005082;NM_005101;NM_005118;NM_005218;NM_005567;NM_005913;NM_005951;NM_005953;NM_005985;NM_006018;NM_006207;NM_006273;NM_006498;NM_006634;NM_006820;NM_007069;NM_007115;NM_007127;NM_012108;NM_012193;NM_012420;NM_014314;NM_014330;NM_014398;NM_014817;NM_015907;NM_016323;NM_016562;NM_017654;NM_018295;NM_020954;NM_020975;NM_021058;NM_021127;NM_022147;NM_022168;NM_024625;NM_031442;NM_033240;NM_052941;NM_052942;NM_053056;NM_133445;NM_138287;NM_138433;NM_138456;NM_145298;NM_145699;NM_152899;NM_153606;NM_153711;NM_172140;NM_175617;NM_176870;NM_177551;NM_178516;NM_182965;NR_002223;NR_003061;NR_003133;NR_003186;NR_003187;NR_003276;NR_003578;NR_003683;NR_026597;NR_038884;NR_038996;NR_039905;NR_040107;NR_109769;NR_109836;NR_110801;NR_126359;NR_130776;NR_131902;NR_132989;NR_134873;NR_135098;NR_145429;NR_146176;NR_146309;NR_147699;NR_148200;NR_149097;XM_005244771;XM_005247666;XM_005262775;XM_006712223;XM_006719434;XM_006719896;XM_011511121;XM_011515618;XM_011518134;XM_011521521;XM_011523949;XM_011524796;XM_011525249;XM_011525250;XM_011526044;XM_011527432;XM_011527787;XM_011529057;XM_011529570;XM_011532103;XM_011543818;XM_011544269;XM_017008018;XM_017008383;XM_017008507;XM_017015394;XM_017019904;XM_017023020;XM_017024259;XM_017027414;XM_017028086;XM_017028642;XM_017029164;XM_024446351;XM_024449371;XM_024452275;XR_001736924;XR_001738185;XR_001740861;XR_001741746;XR_001744070;XR_001745190;XR_001745425;XR_001747541;XR_001748530;XR_001749853;XR_001750762;XR_001751368;XR_001752800;XR_001752852;XR_001753775;XR_001754415;XR_002957015;XR_002958040;XR_002958246;XR_002959614;XR_242166;XR_923257;XR_925212;XR_929515;XR_933073;XR_933890;XR_938449;XR_941574;XR_943149;XR_946699;XR_946991;XR_947578;XR_950140;NM_001164390,NR_126359;NR_130776;NR_131902;NR_132989;NR_134873;NR_135098;NR_145429;NR_146176;NR_146309;NR_147699;NR_148200;NR_149097;XM_005244771;XM_005247666;XM_005262775;XM_006712223;XM_006719434;XM_006719896;XM_011511121;XM_011515618;XM_011518134;XM_011521521;XM_011523949;XM_011524796;XM_011525249;XM_011525250;XM_011526044;XM_011527432;XM_011527787;XM_011529057;XM_011529570;XM_011532103;XM_011543818;XM_011544269;XM_017008018;XM_017008383;XM_017008507;XM_017015394;XM_017019904;XM_017023020;XM_017024259;XM_017027414;XM_017028086;XM_017028642;XM_017029164;XM_024446351;XM_024449371;XM_024452275;XR_001736924;XR_001738185;XR_001740861;XR_001741746;XR_001744070;XR_001745190;XR_001745425;XR_001747541;XR_001748530;XR_001749853;XR_001750762;XR_001751368;XR_001752800;XR_001752852;XR_001753775;XR_001754415;XR_002957015;XR_002958040;XR_002958246;XR_002959614;XR_242166;XR_923257;XR_925212;XR_929515;XR_933073;XR_933890;XR_938449;XR_941574;XR_943149;XR_946699;XR_946991;XR_947578;XR_950140;NM_001164390
HCMV,-0.14241542962022735,-0.5315747383640388,1.0,1.0,249,249,XR_947118;NM_018406;NM_003862;NM_003692;NM_002507;NM_000029;NM_000170;NM_000217;NM_000237;NM_000370;NM_000682;NM_000684;NM_000741;NM_000745;NM_000831;NM_000864;NM_000905;NM_001001821;NM_001005495;NM_001007563;NM_001008537;NM_001010917;NM_001013628;NM_001013653;NM_001013706;NM_001013735;NM_001024401;NM_001039111;NM_001042;NM_001050;NM_001080467;NM_001080830;NM_001101372;NM_001105574;NM_001124758;NM_001137560;NM_001145176;NM_001164405;NM_001172;NM_001176;NM_001197;NM_001202439;NM_001291281;NM_001294306;NM_001304438;NM_001306;NM_001317406;NM_001330522;NM_001355258;NM_001426;NM_001427;NM_001441;NM_001496;NM_001507;NM_001651;NM_001678;NM_001718;NM_001719;NM_001943;NM_001958;NM_001982;NM_002155;NM_002207;NM_002234;NM_002241;NM_002354;NM_002409;NM_002516;NM_002523;NM_002563;NM_002661;NM_002699;NM_002738;NM_002773;NM_002983;NM_003048;NM_003508;NM_003654;NM_003811;NM_003936;NM_004335;NM_004352;NM_004497;NM_004502;NM_004609;NM_004615;NM_004646;NM_004789;NM_004852;NM_004977;NM_005073;NM_005169;NM_005220;NM_005249;NM_005477;NM_005634;NM_006121;NM_006237;NM_006522;NM_006688;NM_006741;NM_007113;NM_007129;NM_007197;NM_012214;NM_013351;NM_013962;NM_014289;NM_014398;NM_014470;NM_014587;NM_015431;NM_015557;NM_015686;NM_015993;NM_016170;NM_016323;NM_017515;NM_017521;NM_017677;NM_017767;NM_017791;NM_017793;NM_017831;NM_018058;NM_018176;NM_018419;NM_018558;NM_018942;NM_018971;NM_019089;NM_019106;NM_020309;NM_020431;NM_020639;NM_020778;NM_021025;NM_021116;NM_021570;NM_021963;NM_021978;NM_022054;NM_022843;NM_024074;NM_024501;NM_024581;NM_024671;NM_031866;NM_031886;NM_032435;NM_032505;NM_032521;NM_032727;NM_052846;NM_052858;NM_052923;NM_080390;NM_080657;NM_133639;NM_138690;NM_138736;NM_138800;NM_139058;NM_139278;NM_144613;NM_152284;NM_152414;NM_152679;NM_153015;NM_153266;NM_153368;NM_153456;NM_173353;NM_173567;NM_173593;NM_175873;NM_175922;NM_178161;NM_178493;NM_178557;NM_178568;NM_181809;NM_198461;NM_198504;NM_198565;NM_198573;NM_198582;NM_201589;NM_207361;NR_003088;NR_024042;NR_024258;NR_024344;NR_027706;NR_036632;NR_036683;NR_037157;NR_038925;NR_038926;NR_040662;NR_110115;NR_110912;NR_126169;NR_135205;NR_146974;NR_147916;NR_148960;XM_005248755;XM_005249914;XM_006720502;XM_006720775;XM_011514699;XM_011516980;XM_011532502;XM_011533383;XM_011534334;XM_017003427;XM_017008018;XM_017014473;XM_017015393;XM_017019800;XM_017022959;XM_017029755;XM_017030005;XM_024450747;XM_024452027;XR_001740998;XR_001742017;XR_001746421;XR_001749930;XR_001752395;XR_002956347;XR_002956804;XR_002957833;XR_002959409;XR_241720;XR_925212;XR_925737;XR_934709;XR_944092;XR_944197;XR_946699;XR_946912;NM_014079;NR_022008;NM_001145080;NM_018242;XR_944109;NM_003054,NM_001355258;NM_001426;NM_001427;NM_001441;NM_001496;NM_001507;NM_001651;NM_001678;NM_001718;NM_001719;NM_001943;NM_001958;NM_001982;NM_002155;NM_002207;NM_002234;NM_002241;NM_002354;NM_002409;NM_002516;NM_002523;NM_002563;NM_002661;NM_002699;NM_002738;NM_002773;NM_002983;NM_003048;NM_003508;NM_003654;NM_003811;NM_003936;NM_004335;NM_004352;NM_004497;NM_004502;NM_004609;NM_004615;NM_004646;NM_004789;NM_004852;NM_004977;NM_005073;NM_005169;NM_005220;NM_005249;NM_005477;NM_005634;NM_006121;NM_006237;NM_006522;NM_006688;NM_006741;NM_007113;NM_007129;NM_007197;NM_012214;NM_013351;NM_013962;NM_014289;NM_014398;NM_014470;NM_014587;NM_015431;NM_015557;NM_015686;NM_015993;NM_016170;NM_016323;NM_017515;NM_017521;NM_017677;NM_017767;NM_017791;NM_017793;NM_017831;NM_018058;NM_018176;NM_018419;NM_018558;NM_018942;NM_018971;NM_019089;NM_019106;NM_020309;NM_020431;NM_020639;NM_020778;NM_021025;NM_021116;NM_021570;NM_021963;NM_021978;NM_022054;NM_022843;NM_024074;NM_024501;NM_024581;NM_024671;NM_031866;NM_031886;NM_032435;NM_032505;NM_032521;NM_032727;NM_052846;NM_052858;NM_052923;NM_080390;NM_080657;NM_133639;NM_138690;NM_138736;NM_138800;NM_139058;NM_139278;NM_144613;NM_152284;NM_152414;NM_152679;NM_153015;NM_153266;NM_153368;NM_153456;NM_173353;NM_173567;NM_173593;NM_175873;NM_175922;NM_178161;NM_178493;NM_178557;NM_178568;NM_181809;NM_198461;NM_198504;NM_198565;NM_198573;NM_198582;NM_201589;NM_207361;NR_003088;NR_024042;NR_024258;NR_024344;NR_027706;NR_036632;NR_036683;NR_037157;NR_038925;NR_038926;NR_040662;NR_110115;NR_110912;NR_126169;NR_135205;NR_146974;NR_147916;NR_148960;XM_005248755;XM_005249914;XM_006720502;XM_006720775;XM_011514699;XM_011516980;XM_011532502;XM_011533383;XM_011534334;XM_017003427;XM_017008018;XM_017014473;XM_017015393;XM_017019800;XM_017022959;XM_017029755;XM_017030005;XM_024450747;XM_024452027;XR_001740998;XR_001742017;XR_001746421;XR_001749930;XR_001752395;XR_002956347;XR_002956804;XR_002957833;XR_002959409;XR_241720;XR_925212;XR_925737;XR_934709;XR_944092;XR_944197;XR_946699;XR_946912;NM_014079;NR_022008;NM_001145080;NM_018242;XR_944109;NM_003054
